frame,time_s,knee_R_raw,knee_R_smooth,knee_L_raw,knee_L_smooth,hip_R_raw,hip_R_smooth,hip_L_raw,hip_L_smooth
43,1.4333333333333333,8.962408709247496,22.774145679123322,80.890539000059,103.92255282944458,155.10532916307395,137.6486202251967,88.20000201546657,65.47082155529033
44,1.4666666666666666,6.364239852135585,16.983784563926946,112.41687797266776,104.46144803517933,152.0095938978095,142.6133764799401,50.358857752162564,61.61915089776408
45,1.5,3.426398509012952,1.2392788284533935,133.51250397227346,114.13569083973607,153.13863878258104,157.15615880094438,26.091353231643147,47.23052465317228
46,1.5333333333333334,10.178828327123115,4.152270716222351,114.64884409548708,115.65765584400039,161.04668589329174,162.58427947892275,47.285657397060305,44.69365397493297
47,1.5666666666666667,13.396124233681928,10.529232184481454,118.40302597604197,120.76217754137446,164.76876617226907,166.06051711926764,37.28877343452376,35.04346011189723
48,1.6,11.67408078676689,14.762665972896237,113.3089621138303,121.32551982003308,163.4626427208726,164.2445020394482,44.47423477299473,33.95601155813709
49,1.6333333333333333,11.196808841697976,14.000794493088767,140.77341172088998,136.18669611064263,143.57713753836893,150.96274172492318,11.752845903054896,16.499140651724375
50,1.6666666666666667,4.072657100399427,7.71115774091624,137.64840101083817,138.36370484881667,159.00051018476276,153.8994959330916,16.673194605042887,14.781233689212826
51,1.7,0.7438843761343179,2.1080032978555883,137.34215205057586,136.14789041019478,155.4200028504984,153.5889223253653,18.02658751881085,18.680911703623096
52,1.7333333333333334,4.679060415238665,1.0420653976233174,131.48410794028047,137.3738920143753,159.45197907270315,155.70439379347002,20.460182153572937,15.472678680571416
53,1.7666666666666666,1.0784710612526314,-0.9874689110282979,142.9818650053457,143.4562655850393,154.20084092039767,154.8729497009923,13.477776501714875,11.656732427167611
54,1.8,13.030980148775255,7.844144456211209,37.328976471735224,71.93530683657437,165.08261541842776,162.8967462685906,139.61371723750878,98.57945100009567
55,1.8333333333333333,8.090535835770712,10.27808779411311,68.56841206146419,52.2443445661667,161.46357591165332,164.7348078564838,95.69080973961857,117.81593850452961
56,1.8666666666666667,11.767651986103516,13.344335638665711,88.53602701048588,59.889693779603505,165.27671279461634,166.3162066648272,73.71514018654932,107.73523909020402
57,1.9,18.42425009934593,18.64795411520719,145.2029762061438,112.70397470716287,142.08708433721506,149.44847514430637,13.83012283395188,49.29279103296388
58,1.9333333333333333,2.9078451343716076,9.631136604659716,127.64504793593542,134.55118294091764,153.6943971510238,150.15588239127408,28.432758407863776,21.984625225531072
59,1.9666666666666666,4.445146180292167,4.637450568100995,127.6666507047264,146.74500490107545,153.78257773852752,149.830528778468,30.26237112476357,7.623006495885174
60,2.0,5.452765582523583,3.0206902257284227,126.15365646847854,147.3637444436402,152.61907231773137,150.45585380098865,33.677885513787004,7.633313315522109
61,2.033333333333333,4.576842715858101,1.7445956312926727,126.04958560449816,139.0872595497441,159.5685793497989,155.81680297009808,32.86467204117907,18.372432857313527
62,2.066666666666667,3.724573077067376,2.8169171888436537,118.68903731964733,112.24967834820771,158.77832299489808,160.7124277939099,34.97973400284632,45.43978738707935
63,2.1,4.9818496380909645,3.6384323496706603,122.71984501743776,112.08301294156172,149.92547790634114,156.06657982430818,30.322241378502397,42.012712638910685
64,2.1333333333333333,5.876031416028511,6.22278356330513,115.09870518858276,110.83721216214231,148.6067519452821,151.53363101321276,37.45921412497053,41.534337228731054
65,2.1666666666666665,15.008986108935234,13.720372679009555,61.784433772842874,81.05375930634169,165.36087517974417,156.98933056221276,86.48391561459637,67.45955067786522
66,2.2,10.544619301714182,12.494632289755284,67.98206758615846,62.17216131379802,164.37429006035794,163.24809636131565,84.26405006867172,87.23582909397882
67,2.2333333333333334,25.33494860502227,22.322295381769084,42.58278653621413,39.60061023378087,174.75439256936752,172.6839003683835,118.07079852843377,117.19542913506655
68,2.2666666666666666,25.276745404643243,27.246552797652555,40.20867615455244,29.77290050074201,176.24733735526644,178.62715263576294,126.43995291262624,135.74157129109582
69,2.3,18.772397312937624,24.1511004959011,38.6098398931962,29.213539121486747,173.02459917273433,179.21650670938962,123.67432202753267,137.60140800855297
70,2.3333333333333335,9.628024389839872,14.726925560947324,41.17898959618128,35.754999753918455,166.37045417077852,172.0510460005012,121.29569259713269,130.12933562942118
71,2.3666666666666667,18.6495240472318,14.55679927545894,124.65854822180285,99.27183328676594,140.8844230655486,148.50882523791827,39.87189745422385,66.46586627601583
72,2.4,26.415930428025884,20.126736721058002,43.227108102428154,80.57176714682775,173.8590894102827,157.62503145838775,127.55813306488075,88.07903576766589
73,2.433333333333333,20.28520227078398,20.78132696394986,43.311445641258274,59.37760554331523,173.2203566321001,166.7664190639392,124.09384032866406,107.9153973570426
74,2.466666666666667,3.2398465737460564,9.333802687420262,89.20721380266741,78.37475109242928,159.6901661142112,163.37278299845633,76.61064970020038,87.88891850327668
75,2.5,3.2568425091290822,4.777964343374215,116.63020199395503,102.59388383691635,157.5275598179441,161.663208280079,50.13859143820524,64.37627060214439
76,2.533333333333333,9.266943666890171,5.12713989725604,119.7815147137335,118.89738042403656,153.14755381631758,156.90628979838334,47.05400527240825,48.192161490623434
77,2.566666666666667,2.363391531502735,0.7386879443456706,83.4088181659114,102.34334950980035,159.41052083117376,157.133337837139,76.96639767265232,59.390395913848934
