frame,time_s,knee_R_raw,knee_R_smooth,knee_L_raw,knee_L_smooth,hip_R_raw,hip_R_smooth,hip_L_raw,hip_L_smooth
0,0.0,,,,,,,,
1,0.03333333333333333,107.91797057979889,107.91797057979889,122.60410316347918,122.60410316347918,56.31470466328392,56.31470466328392,36.96935307956378,36.96935307956378
2,0.06666666666666667,19.042514619251715,72.36778819558002,8.763135461799806,77.06771608280742,170.3729297351393,101.93799469202608,131.00188775169337,74.58236694841563
3,0.1,14.894118107995672,49.378320160546274,41.99378963560008,63.03814550392448,171.5761818733392,129.79326956455134,113.47632014349412,90.13994822644702
4,0.13333333333333333,6.597963088431479,32.266177331700355,71.21793106826891,66.31005972966226,155.98596178730276,140.27034645365188,87.61320757962376,89.12925196771772
5,0.16666666666666666,12.724098101249796,24.449345639520132,99.4951694422528,79.58410361469848,148.84332148685874,143.69953646693463,60.39589634106372,77.63590971705612
6,0.2,19.577247641751555,22.5005064404127,24.38268734663584,57.50353710747342,172.86731049626835,155.3666460786681,153.55024831397768,108.00164515582475
7,0.23333333333333334,8.113870250946366,16.745851964626166,29.44850284163203,46.281523401136866,167.6544408310107,160.28176397960516,124.45242505575811,114.58195711579809
8,0.26666666666666666,29.787473440194752,19.636943202171715,124.34466225688848,83.02865110371161,134.09755938188937,127.19364414684117,37.72588405271069,61.35597426273603
9,0.3,15.088090249338931,32.64482146929576,116.10055910309786,122.14948588283256,146.8169901789333,129.67924412446555,46.714820891574256,40.550602436424725
10,0.3333333333333333,34.23441892929336,31.373680651890762,32.75256409826396,64.62618104925527,172.25291037669518,160.64211137115325,148.43766253517353,106.76005353097882
11,0.36666666666666664,52.53783238682216,47.663034557102016,110.25773308398232,93.11271596427807,170.78768866244343,169.85286695736977,165.78442795117425,149.83753155494333
12,0.4,8.413095742287053,26.1617977053944,88.87296371705739,96.56246596904745,152.51093510645867,160.84355266148035,70.28515948747842,109.2665413106065
13,0.43333333333333335,128.75274439003832,92.33642600365141,132.963234542208,122.81563812508844,29.624750839788046,74.9059756570351,23.016322637845402,53.093135795425
14,0.4666666666666667,127.1780987576365,129.1124511554454,130.16844931461202,123.97153920996769,27.737667937096713,26.418116870396688,21.595761107676022,29.51352578674863
15,0.5,132.22471239720633,146.83025517995722,136.08726193288038,137.23035987690213,20.26554592216378,-3.9258661106055115,32.47359544175333,10.267240666628823
16,0.5333333333333333,133.9965936076483,153.13420380935992,142.51427754196095,156.44061157440797,23.229744850906027,-11.149053463288851,33.47237238849625,-0.6464519044300303
17,0.5666666666666667,131.52033230065325,143.56232886647823,152.52820437000707,157.65569765592676,25.77030329521187,5.23182332214671,31.395270662009626,14.093070229164724
18,0.6,127.07003031751404,131.4748759911171,155.36280072780337,149.26806368922954,27.396232368723787,28.674330067317413,27.469608423181196,39.55168330819757
19,0.6333333333333333,124.08339958076986,117.88300489957483,156.2819422644713,158.16324909094538,29.586892153927604,44.902275725050856,23.619702992233687,43.18183482338176
