Frame,Left Knee Angle,Right Knee Angle
5,152.59871453684042,82.34836870880767
6,155.72783160270814,169.06174652868438
72,163.8574538980871,175.15664161839308
73,171.00813696305343,176.49768148594802
74,172.74796666172983,176.3914456288621
75,176.57045581721135,177.16293114613632
76,177.91543850691494,175.20932627995288
77,173.17770263310084,174.8726417634977
78,172.11852431281773,174.94343221691793
79,169.42926757587017,176.23851070322672
80,169.36187637839308,176.3454520721204
81,169.82016955251783,176.75360915146672
82,168.02693316326435,176.72187822142422
83,165.95676520516298,176.85064983897968
84,165.81831596806109,177.2711605910613
85,165.92970899815103,177.7699641968709
86,165.23179104106126,178.62198335773707
87,165.90424292927432,179.22927108410286
88,165.1448399771505,178.98561128066325
89,165.3500773937138,179.04026052670457
90,165.5917673168101,179.07214422759395
91,168.19283871949503,178.86220532998675
92,168.02324164597596,178.7848853338137
93,167.75657252452194,178.34884276553348
94,167.9227650360378,178.36893638787893
95,168.67863018471124,178.48773776443514
96,171.07864919076843,178.73178209520077
97,172.51950313085396,179.3852327339776
98,173.0701241621293,179.64069132531483
99,173.64180886976138,179.5695994597356
100,177.16635182142542,179.4151713484862
101,178.9194637423558,176.84161144869609
102,175.9568842471243,174.6111402811326
103,172.63522127921306,175.45439914123787
104,29.615676482211914,37.019225616377966
105,40.5877081004735,35.71152319267347
106,57.53581636132928,71.07556835156772
107,104.32842623251592,99.96847656254914
108,131.24283477891325,116.72896204944782
109,128.06378565466366,131.03851654510316
110,152.4375848386002,152.34482212781865
111,165.63558922465415,154.8808014205718
112,169.46130005601574,133.24793993237068
113,159.35394205872143,118.11302903012344
114,159.70777814664524,109.28180865914655
